student_id,name,gender,date_of_birth,school_name,board,year_of_passing,math_score,science_score,english_score,social_score,second_language_score,overall_percentage,was_consistent_performer,top_subjects,weak_subjects,remedial_classes_taken,average_study_hours_per_day,study_method,preferred_learning_style,attendance_percentage,participated_in_olympiads,extracurricular_focus,leadership_roles,confidence_level_in_subjects,motivation_level,parental_education_level,internet_access_at_home
12,Madhup Sharma,Male,2008-04-12,"Young, Simmons and Kelley School",State,2021,68,65,88,80,84,77.0,Yes,"English, Second Language","Science, Mathematics",Yes,2.2,Coaching,Visual,83,No,Arts,Yes,3,3,None,Yes
13,Nayantara Bhagat,Male,2008-05-30,"Williams, Clark and Jones School",CBSE,2022,96,64,93,89,89,86.2,Yes,"Mathematics, English","Science, Social Science",No,4.1,Solo,Reading,86,No,Debate,No,5,5,None,No
14,Lakshay Sami,Female,2009-03-11,"Boyd, Walker and Monroe School",CBSE,2021,61,71,94,97,99,84.4,No,"Second Language, Social Science","Mathematics, Science",Yes,2.6,Group,Practical,99,Yes,None,Yes,2,5,Graduate,Yes
15,Ivana Saran,Female,2007-06-11,"Francis, Hayes and Ruiz School",CBSE,2021,86,74,85,59,79,76.6,Yes,"Mathematics, English","Social Science, Science",Yes,2.9,Group,Reading,80,Yes,Debate,Yes,2,3,Postgraduate,No
16,Dishani Sidhu,Male,2008-09-29,Bates-Nunez School,CBSE,2023,61,77,58,78,100,74.8,Yes,"Second Language, Social Science","English, Mathematics",Yes,3.1,Coaching,Practical,100,Yes,Music,Yes,2,4,High School,No
17,Alia Saha,Female,2008-10-17,"Wilson, Mcdowell and Bradshaw School",CBSE,2023,84,90,81,49,54,71.6,No,"Science, Mathematics","Social Science, Second Language",No,1.6,Group,Reading,72,No,Sports,No,1,3,High School,No
18,Yasmin Boase,Female,2009-07-20,Parker PLC School,ICSE,2022,73,79,86,63,75,75.2,No,"English, Science","Social Science, Mathematics",Yes,4.1,Coaching,Auditory,73,No,Debate,No,3,5,Graduate,Yes
19,Akarsh Mandal,Female,2008-04-01,"Herman, Erickson and Parks School",ICSE,2023,67,54,97,62,51,66.2,Yes,"English, Mathematics","Second Language, Science",No,3.1,Coaching,Practical,80,Yes,Music,Yes,5,2,Graduate,No
20,Zaina Srinivas,Male,2008-04-16,Mccoy-Martin School,CBSE,2022,93,66,86,77,65,77.4,No,"Mathematics, English","Second Language, Science",No,1.7,Group,Reading,74,No,Sports,No,2,4,Postgraduate,No
21,Vihaan Balan,Female,2008-02-16,Romero Ltd School,CBSE,2022,44,79,94,49,51,63.4,No,"English, Science","Mathematics, Social Science",No,1.4,Solo,Reading,88,No,None,No,2,4,None,No
22,Manjari Brahmbhatt,Female,2009-04-25,"Lynch, Anderson and Cummings School",ICSE,2021,78,83,47,90,61,71.8,No,"Social Science, Science","English, Second Language",No,3.7,Coaching,Auditory,85,Yes,Debate,No,2,4,Graduate,Yes
23,Adira Bawa,Male,2009-01-19,Rasmussen-Baker School,State,2021,96,66,44,78,52,67.2,Yes,"Mathematics, Social Science","English, Second Language",No,3.7,Group,Reading,77,No,Music,No,2,3,High School,No
24,Dhanuk Amble,Female,2007-06-15,Montgomery Group School,ICSE,2022,49,51,70,80,79,65.8,No,"Social Science, Second Language","Mathematics, Science",Yes,2.0,Solo,Practical,87,No,None,No,5,3,High School,Yes
25,Tiya Dhar,Male,2007-11-08,Green-Myers School,CBSE,2021,95,67,54,54,85,71.0,Yes,"Mathematics, Second Language","English, Social Science",No,3.3,Solo,Practical,78,No,Debate,Yes,4,5,None,No
26,Emir Kapadia,Male,2009-06-29,"Young, Mitchell and Henry School",CBSE,2023,84,80,84,91,50,77.8,Yes,"Social Science, Mathematics","Second Language, Science",Yes,4.2,Solo,Reading,76,No,Sports,No,5,3,Postgraduate,Yes
27,Jhanvi Garg,Male,2009-06-24,Dennis LLC School,ICSE,2022,95,50,51,52,60,61.6,No,"Mathematics, Second Language","Science, English",Yes,2.0,Coaching,Reading,89,No,Sports,Yes,4,3,Graduate,Yes
28,Aayush Das,Male,2009-07-08,"Gonzalez, Harrell and Wheeler School",CBSE,2022,44,57,60,85,85,66.2,Yes,"Social Science, Second Language","Mathematics, Science",No,2.5,Solo,Auditory,80,No,Debate,No,4,1,Postgraduate,Yes
29,Aarav Dave,Female,2007-09-30,"Robbins, Curtis and Page School",CBSE,2022,85,56,97,65,85,77.6,Yes,"English, Mathematics","Science, Social Science",No,3.8,Group,Auditory,77,Yes,Arts,Yes,5,5,Graduate,Yes
30,Inaaya  Sule,Male,2008-09-16,Chapman-Richard School,ICSE,2022,69,74,79,98,67,77.4,No,"Social Science, English","Second Language, Mathematics",Yes,3.2,Coaching,Practical,80,Yes,Debate,Yes,3,2,Postgraduate,No
31,Aarush Rao,Male,2008-03-25,"Howard, Whitehead and Snyder School",ICSE,2021,85,71,80,44,98,75.6,No,"Second Language, Mathematics","Social Science, Science",No,1.3,Solo,Visual,89,No,Sports,No,1,1,Postgraduate,No
32,Umang Soman,Female,2010-03-09,Price-Melendez School,ICSE,2023,68,66,51,84,45,62.8,Yes,"Social Science, Mathematics","Second Language, English",No,4.7,Coaching,Practical,95,No,Music,Yes,3,2,High School,Yes
33,Renee Brahmbhatt,Male,2008-02-08,Hughes-George School,State,2023,83,73,97,82,76,82.2,Yes,"English, Mathematics","Science, Second Language",No,4.7,Group,Practical,71,Yes,Debate,No,3,2,High School,Yes
34,Emir Kala,Female,2010-01-26,"Reynolds, Murray and Phillips School",ICSE,2021,86,72,55,58,60,66.2,Yes,"Mathematics, Science","English, Social Science",No,3.5,Solo,Reading,76,No,Arts,Yes,2,2,None,Yes
35,Dhanuk Desai,Female,2009-06-28,Jackson-Kelly School,ICSE,2021,96,96,97,83,63,87.0,No,"English, Mathematics","Second Language, Social Science",Yes,1.4,Coaching,Reading,89,Yes,Debate,No,3,5,Graduate,Yes
36,Anahita Khanna,Male,2009-09-03,Herrera Ltd School,CBSE,2022,51,67,94,60,77,69.8,No,"English, Second Language","Mathematics, Social Science",No,4.6,Group,Reading,78,No,Arts,Yes,4,4,Graduate,Yes
37,Shamik Konda,Male,2009-06-22,"Mora, Hernandez and Russell School",CBSE,2022,46,50,69,93,78,67.2,No,"Social Science, Second Language","Mathematics, Science",No,4.8,Solo,Practical,98,Yes,Music,Yes,3,3,Graduate,No
38,Alisha Mannan,Male,2009-01-12,Gardner PLC School,ICSE,2022,66,77,61,73,81,71.6,Yes,"Second Language, Science","English, Mathematics",Yes,1.9,Coaching,Reading,86,Yes,Sports,No,2,2,None,Yes
39,Zeeshan Mangat,Female,2008-07-02,"Vaughn, Adams and Meza School",State,2022,48,54,52,55,98,61.4,No,"Second Language, Social Science","Mathematics, English",No,3.8,Group,Visual,85,Yes,None,Yes,4,3,Graduate,No
40,Aaina Lad,Female,2010-03-09,King Ltd School,State,2022,88,86,88,71,96,85.8,Yes,"Second Language, Mathematics","Social Science, Science",Yes,3.2,Group,Visual,88,No,Sports,No,5,2,Graduate,No
41,Kanav Goel,Female,2008-11-10,Glass-Williams School,ICSE,2021,42,84,62,79,57,64.8,No,"Science, Social Science","Mathematics, Second Language",No,3.1,Group,Reading,100,Yes,Arts,No,2,5,Postgraduate,No
42,Himmat Johal,Female,2007-10-13,Johnson Group School,State,2021,82,88,62,99,91,84.4,Yes,"Social Science, Second Language","English, Mathematics",No,4.2,Solo,Visual,75,Yes,Music,No,2,3,None,Yes
43,Saksham Gade,Female,2007-10-06,Cochran PLC School,CBSE,2021,80,90,46,47,87,70.0,Yes,"Science, Second Language","English, Social Science",Yes,1.6,Coaching,Practical,89,Yes,Sports,Yes,2,3,None,No
44,Nitara Contractor,Male,2008-11-03,Horton-Silva School,ICSE,2022,87,53,64,86,69,71.8,No,"Mathematics, Social Science","Science, English",No,1.6,Solo,Reading,77,No,Debate,Yes,1,5,Graduate,Yes
45,Arhaan Bhasin,Female,2009-04-18,"Hernandez, Webb and Wagner School",State,2022,73,86,48,52,69,65.6,Yes,"Science, Mathematics","English, Social Science",No,3.1,Solo,Auditory,83,No,Music,Yes,1,1,High School,No
46,Riaan Reddy,Male,2009-09-24,"Smith, Thomas and Fisher School",State,2023,43,71,82,76,68,68.0,Yes,"English, Social Science","Mathematics, Second Language",Yes,2.9,Solo,Visual,81,No,Debate,Yes,5,5,None,No
47,Lakshay Khalsa,Female,2009-04-23,"Sanchez, Greene and Jones School",State,2022,90,46,93,74,46,69.8,Yes,"English, Mathematics","Science, Second Language",Yes,1.1,Solo,Visual,92,No,Music,No,3,5,Graduate,No
48,Baiju Bath,Female,2007-10-29,Payne-Rodriguez School,CBSE,2023,40,41,94,66,92,66.6,Yes,"English, Second Language","Mathematics, Science",No,3.5,Group,Practical,92,Yes,None,No,2,3,Postgraduate,Yes
49,Anay Dani,Male,2009-04-17,Knight-Mitchell School,State,2021,92,50,68,62,85,71.4,No,"Mathematics, Second Language","Science, Social Science",No,3.6,Group,Practical,87,No,Debate,No,1,4,High School,Yes
50,Yasmin Vyas,Female,2008-09-27,Flores LLC School,State,2022,93,54,84,58,58,69.4,Yes,"Mathematics, English","Science, Social Science",No,4.6,Coaching,Practical,76,No,None,No,5,2,None,No
51,Hridaan Tandon,Female,2008-03-25,"Fowler, Jones and Miller School",ICSE,2021,61,76,40,43,94,62.8,No,"Second Language, Science","English, Social Science",Yes,1.7,Coaching,Visual,84,Yes,Debate,No,3,4,Postgraduate,No
52,Samar Shere,Female,2008-04-24,"Griffin, Stone and Austin School",CBSE,2023,48,62,97,40,79,65.2,Yes,"English, Second Language","Social Science, Mathematics",No,3.4,Coaching,Practical,75,No,None,No,5,4,Postgraduate,Yes
53,Dishani Mander,Male,2009-12-11,Nguyen-Pierce School,CBSE,2022,63,100,96,64,90,82.6,No,"Science, English","Mathematics, Social Science",No,2.1,Coaching,Reading,74,No,Music,Yes,5,1,None,Yes
54,Shanaya Chhabra,Male,2009-10-12,"Simon, Robinson and Beasley School",CBSE,2022,44,95,91,82,49,72.2,No,"Science, English","Mathematics, Second Language",No,2.7,Solo,Practical,75,Yes,Debate,No,4,1,Postgraduate,No
55,Purab Choudhury,Male,2009-01-25,Rodriguez-Myers School,CBSE,2022,69,94,41,44,71,63.8,No,"Science, Second Language","English, Social Science",No,3.3,Group,Auditory,94,Yes,None,Yes,4,2,Postgraduate,No
56,Damini Amble,Female,2009-02-04,Jackson-Wiggins School,State,2023,88,96,47,55,81,73.4,No,"Science, Mathematics","English, Social Science",No,3.5,Coaching,Visual,88,No,None,No,3,2,Graduate,No
57,Kiara Malhotra,Female,2007-09-19,Gonzalez-Hull School,ICSE,2021,55,46,100,77,56,66.8,No,"English, Social Science","Science, Mathematics",No,3.7,Solo,Auditory,89,No,None,No,5,5,Postgraduate,No
58,Indranil Gade,Female,2007-07-04,"Galvan, Cox and Stone School",State,2022,80,56,67,88,81,74.4,No,"Social Science, Second Language","Science, English",Yes,4.2,Coaching,Reading,96,Yes,Sports,Yes,5,2,High School,No
59,Siya Das,Male,2009-05-17,Mccall PLC School,State,2021,86,54,95,82,50,73.4,Yes,"English, Mathematics","Second Language, Science",No,4.5,Coaching,Auditory,74,No,Arts,No,1,1,Postgraduate,Yes
60,Jayesh Ganesan,Female,2008-12-29,"Butler, Jones and Butler School",CBSE,2022,57,83,54,74,72,68.0,No,"Science, Social Science","English, Mathematics",No,3.2,Solo,Auditory,70,Yes,Debate,No,5,3,Postgraduate,No
61,Sahil Char,Female,2007-11-03,"Reeves, Hall and Palmer School",State,2022,40,97,43,77,62,63.8,Yes,"Science, Social Science","Mathematics, English",Yes,1.9,Coaching,Visual,92,Yes,Sports,Yes,1,1,Postgraduate,No
62,Hansh Chandran,Male,2007-12-22,Potts and Sons School,CBSE,2023,65,64,55,50,75,61.8,Yes,"Second Language, Mathematics","Social Science, English",Yes,4.7,Solo,Auditory,78,No,Debate,No,3,5,None,No
63,Akarsh Reddy,Male,2008-06-12,Stevens-Green School,CBSE,2022,95,48,88,58,82,74.2,No,"Mathematics, English","Science, Social Science",Yes,2.3,Group,Reading,100,No,Music,Yes,4,3,Graduate,Yes
64,Kismat Bir,Male,2009-05-05,Russell PLC School,State,2022,80,71,41,56,66,62.8,Yes,"Mathematics, Science","English, Social Science",No,2.5,Coaching,Practical,79,Yes,Music,No,2,5,Graduate,Yes
65,Jayan Kapur,Female,2009-10-27,"Ball, Alvarez and Williams School",State,2022,41,63,71,42,87,60.8,No,"Second Language, English","Mathematics, Social Science",Yes,4.5,Solo,Reading,99,No,Music,Yes,4,4,High School,Yes
66,Madhav Saran,Male,2009-06-15,Farrell and Sons School,ICSE,2023,74,96,50,67,74,72.2,Yes,"Science, Mathematics","English, Social Science",No,4.4,Solo,Reading,85,Yes,Arts,No,4,2,Postgraduate,No
67,Renee Jaggi,Male,2010-02-28,"Lucas, Andrews and Anderson School",ICSE,2023,75,69,79,63,85,74.2,No,"Second Language, English","Social Science, Science",Yes,3.9,Group,Practical,74,No,None,Yes,5,1,Graduate,Yes
68,Aarna Doshi,Male,2008-02-02,"Soto, Bright and Dunn School",ICSE,2023,65,89,54,87,64,71.8,No,"Science, Social Science","English, Second Language",Yes,1.6,Coaching,Visual,91,No,Debate,Yes,3,5,None,Yes
69,Saksham Virk,Female,2009-08-10,Ford Group School,State,2022,69,81,97,97,75,83.8,Yes,"English, Social Science","Mathematics, Second Language",No,1.9,Solo,Reading,77,Yes,Debate,Yes,4,3,Graduate,No
70,Arhaan Doctor,Female,2008-08-19,"Harper, Morris and Kelly School",ICSE,2023,56,66,70,48,69,61.8,Yes,"English, Second Language","Social Science, Mathematics",No,3.7,Group,Practical,82,No,Music,No,5,4,Postgraduate,No
71,Hridaan Chandra,Female,2008-12-05,"Cohen, Silva and Watkins School",State,2022,50,100,65,86,89,78.0,No,"Science, Second Language","Mathematics, English",Yes,5.0,Solo,Auditory,93,No,Arts,No,2,4,High School,No
72,Kabir Krishnan,Male,2008-05-19,Hernandez-Adams School,ICSE,2023,69,58,46,83,83,67.8,Yes,"Social Science, Second Language","English, Science",Yes,1.1,Solo,Visual,89,No,Sports,No,1,3,Postgraduate,Yes
73,Zoya Cheema,Male,2009-09-11,Mitchell Inc School,ICSE,2021,94,53,57,72,68,68.8,No,"Mathematics, Social Science","Science, English",Yes,4.7,Coaching,Auditory,81,No,Debate,Yes,5,1,High School,No
74,Mehul Kakar,Male,2009-11-13,Collins LLC School,State,2022,76,75,46,90,79,73.2,No,"Social Science, Second Language","English, Science",No,2.7,Solo,Practical,98,Yes,Music,Yes,3,2,High School,Yes
75,Krish Anand,Female,2009-09-12,"Dyer, Mann and Freeman School",ICSE,2023,59,61,96,76,54,69.2,Yes,"English, Social Science","Second Language, Mathematics",No,1.3,Coaching,Practical,88,No,None,No,1,4,None,Yes
76,Farhan Chopra,Female,2008-12-12,Hernandez Inc School,State,2023,72,47,93,56,94,72.4,No,"Second Language, English","Science, Social Science",Yes,4.8,Coaching,Practical,95,No,Sports,Yes,5,1,None,Yes
77,Chirag Sarraf,Female,2009-09-26,Young-Cole School,State,2023,67,55,90,95,56,72.6,Yes,"Social Science, English","Science, Second Language",No,4.9,Solo,Practical,92,No,Sports,No,5,2,High School,Yes
78,Anay Magar,Male,2008-05-18,Krause Inc School,CBSE,2022,53,44,91,92,79,71.8,No,"Social Science, English","Science, Mathematics",No,1.4,Solo,Visual,98,No,Arts,No,5,2,Graduate,Yes
79,Miraan Hari,Female,2007-09-18,Williams-Wagner School,CBSE,2021,90,69,55,84,81,75.8,No,"Mathematics, Social Science","English, Science",No,2.8,Group,Visual,94,No,Arts,Yes,2,2,Graduate,No
80,Vihaan Mahal,Female,2009-08-02,Spencer PLC School,State,2021,87,42,60,96,85,74.0,Yes,"Social Science, Mathematics","Science, English",No,2.9,Solo,Practical,78,No,Music,Yes,4,2,Graduate,Yes
81,Yashvi Dasgupta,Female,2008-06-12,Moore Inc School,CBSE,2021,88,67,78,90,47,74.0,Yes,"Social Science, Mathematics","Second Language, Science",No,4.4,Coaching,Auditory,70,Yes,Debate,No,4,1,Graduate,No
82,Anaya Batta,Female,2007-11-10,Thompson Group School,State,2021,77,57,77,90,59,72.0,No,"Social Science, Mathematics","Science, Second Language",No,2.8,Group,Auditory,87,No,None,Yes,5,1,Graduate,Yes
83,Ehsaan Thakur,Male,2008-10-23,Murillo-Gutierrez School,ICSE,2021,96,65,74,71,41,69.4,No,"Mathematics, English","Second Language, Science",No,2.8,Group,Visual,90,No,Music,No,2,1,None,No
84,Kanav Kurian,Female,2009-06-19,Hamilton and Sons School,CBSE,2022,92,67,52,59,44,62.8,No,"Mathematics, Science","Second Language, English",No,4.1,Solo,Visual,74,No,Music,Yes,2,5,None,No
85,Aarush Sharma,Female,2009-10-14,Reese LLC School,State,2021,47,40,40,65,99,58.2,No,"Second Language, Social Science","Science, English",Yes,1.4,Group,Auditory,90,No,Sports,No,2,5,Postgraduate,No
86,Pranay Barad,Female,2008-01-28,Navarro-Holt School,State,2022,63,41,46,70,92,62.4,Yes,"Second Language, Social Science","Science, English",Yes,2.9,Coaching,Auditory,76,Yes,Debate,Yes,5,3,Postgraduate,No
87,Divyansh Kadakia,Female,2008-08-13,"Patrick, Franklin and Dominguez School",State,2021,49,100,85,75,58,73.4,No,"Science, English","Mathematics, Second Language",Yes,3.0,Solo,Auditory,99,No,Debate,No,1,3,Postgraduate,No
88,Lakshay Chandran,Male,2007-05-03,Dunn LLC School,State,2021,44,66,90,80,79,71.8,Yes,"English, Social Science","Mathematics, Science",Yes,1.4,Group,Practical,72,No,None,Yes,2,1,None,No
89,Anahi Dayal,Female,2009-09-03,Ingram-Armstrong School,State,2023,62,54,76,100,79,74.2,Yes,"Social Science, Second Language","Science, Mathematics",Yes,4.2,Coaching,Auditory,82,Yes,None,Yes,1,5,Graduate,Yes
90,Yashvi Sidhu,Male,2007-05-19,Gray PLC School,ICSE,2021,70,97,95,66,74,80.4,Yes,"Science, English","Social Science, Mathematics",No,4.6,Coaching,Auditory,83,No,Sports,Yes,1,2,Postgraduate,No
91,Saanvi Thakur,Female,2010-03-12,Pugh LLC School,ICSE,2021,54,100,88,54,49,69.0,No,"Science, English","Second Language, Mathematics",Yes,4.1,Group,Auditory,88,No,Music,Yes,3,5,Graduate,No
92,Mohanlal Swaminathan,Female,2009-01-27,"Bruce, Ortiz and Gordon School",CBSE,2023,68,92,67,89,61,75.4,Yes,"Science, Social Science","Second Language, English",Yes,3.8,Solo,Practical,90,No,Arts,Yes,3,4,Postgraduate,Yes
93,Vivaan Soman,Female,2009-03-01,Thompson Ltd School,State,2021,52,90,56,74,75,69.4,No,"Science, Second Language","Mathematics, English",No,1.1,Solo,Visual,75,No,Arts,No,2,4,Postgraduate,No
94,Shanaya Sinha,Male,2008-10-13,Thornton-Price School,State,2021,59,51,65,63,40,55.6,Yes,"English, Social Science","Second Language, Science",Yes,1.2,Solo,Practical,99,Yes,Music,No,5,2,Postgraduate,No
95,Pari Wadhwa,Male,2008-01-06,Hill Ltd School,CBSE,2022,70,87,73,93,72,79.0,No,"Social Science, Science","Mathematics, Second Language",Yes,5.0,Group,Auditory,93,No,Arts,Yes,3,3,Graduate,Yes
96,Prisha Lata,Male,2009-06-05,Lin Group School,CBSE,2021,64,92,41,58,45,60.0,No,"Science, Mathematics","English, Second Language",Yes,3.5,Group,Reading,70,Yes,None,Yes,4,4,Postgraduate,No
97,Akarsh Subramaniam,Female,2009-12-29,"Haynes, Farmer and Rose School",ICSE,2021,99,82,61,80,82,80.8,No,"Mathematics, Science","English, Social Science",Yes,2.6,Coaching,Auditory,87,No,Music,No,5,1,None,No
98,Biju Maharaj,Male,2007-07-03,"Miller, Cook and Ray School",State,2022,98,49,54,79,99,75.8,No,"Second Language, Mathematics","Science, English",No,2.7,Solo,Visual,77,No,Arts,No,5,4,High School,Yes
99,Siya Varma,Female,2009-06-03,"Townsend, Snow and York School",ICSE,2022,84,86,44,41,48,60.6,No,"Science, Mathematics","Social Science, English",No,1.4,Coaching,Auditory,77,Yes,Sports,No,5,2,Postgraduate,No
100,Vritika Viswanathan,Male,2009-03-19,Evans-English School,State,2021,81,40,42,57,52,54.4,No,"Mathematics, Social Science","Science, English",No,3.1,Solo,Auditory,80,Yes,Arts,No,4,1,Graduate,No
101,Anya Sethi,Female,2008-11-23,Thomas Inc School,CBSE,2022,65,85,98,81,83,82.4,Yes,"English, Science","Mathematics, Social Science",Yes,2.9,Group,Reading,87,No,Music,No,5,2,High School,Yes
102,Romil Kaur,Female,2008-08-13,Rivera-Brown School,ICSE,2023,46,48,79,64,98,67.0,No,"Second Language, English","Mathematics, Science",Yes,3.8,Coaching,Reading,83,No,Debate,No,2,5,None,No
103,Zaina Chandra,Male,2009-07-28,Flores-Simmons School,State,2023,50,83,63,47,97,68.0,No,"Second Language, Science","Social Science, Mathematics",No,2.7,Group,Practical,88,Yes,Music,No,3,2,Graduate,Yes
104,Tanya Khalsa,Female,2008-06-03,"Smith, Flores and Davis School",CBSE,2021,56,51,89,59,86,68.2,Yes,"English, Second Language","Science, Mathematics",No,2.6,Coaching,Auditory,71,Yes,Arts,No,3,3,None,Yes
105,Rania Dugar,Male,2008-09-27,"Callahan, Martin and Ashley School",CBSE,2023,43,72,70,48,57,58.0,No,"Science, English","Mathematics, Social Science",No,4.8,Coaching,Visual,82,No,Debate,No,2,1,None,Yes
106,Nayantara Anne,Male,2009-06-23,Mitchell and Sons School,ICSE,2021,63,91,90,72,89,81.0,No,"Science, English","Mathematics, Social Science",Yes,3.3,Solo,Reading,96,No,Debate,No,1,2,High School,No
107,Saira Vaidya,Male,2009-12-11,"Franklin, Ramsey and Mcdaniel School",State,2022,95,77,62,98,64,79.2,Yes,"Social Science, Mathematics","English, Second Language",Yes,3.8,Solo,Reading,75,No,None,Yes,4,1,High School,Yes
108,Adira Kapur,Male,2007-06-23,"Willis, Hood and Tate School",ICSE,2023,40,59,90,41,66,59.2,No,"English, Second Language","Mathematics, Social Science",Yes,4.7,Group,Reading,96,No,Music,Yes,5,4,Graduate,No
109,Sumer Tak,Male,2008-09-12,Shaffer-Black School,State,2023,91,49,87,78,75,76.0,No,"Mathematics, English","Science, Second Language",Yes,3.5,Coaching,Auditory,97,No,Debate,Yes,4,5,High School,No
110,Kabir Dutt,Male,2009-01-17,Schmidt-Christensen School,CBSE,2021,42,41,69,48,78,55.6,Yes,"Second Language, English","Science, Mathematics",No,2.7,Solo,Practical,88,No,Music,Yes,2,2,None,Yes
111,Eshani Gala,Male,2010-02-21,"Hernandez, Moran and Byrd School",ICSE,2021,80,96,79,78,45,75.6,No,"Science, Mathematics","Second Language, Social Science",Yes,1.5,Coaching,Reading,79,No,Arts,Yes,3,3,Graduate,Yes
112,Miraan Tailor,Male,2010-04-13,Cook and Sons School,CBSE,2023,70,93,100,99,58,84.0,Yes,"English, Social Science","Second Language, Mathematics",No,3.9,Solo,Reading,91,No,Sports,Yes,5,2,None,No
113,Aayush Sridhar,Female,2009-05-28,Thompson and Sons School,CBSE,2022,80,74,73,58,48,66.6,No,"Mathematics, Science","Second Language, Social Science",Yes,2.0,Coaching,Reading,81,Yes,Arts,Yes,5,5,None,Yes
114,Keya Kade,Male,2008-08-09,Brock-Peterson School,ICSE,2023,47,89,77,67,49,65.8,No,"Science, English","Mathematics, Second Language",Yes,3.8,Solo,Auditory,100,Yes,Arts,Yes,2,4,None,No
115,Bhavin Buch,Female,2007-07-01,Schmidt-Barnes School,CBSE,2023,57,44,74,52,78,61.0,Yes,"Second Language, English","Science, Social Science",No,1.7,Solo,Auditory,95,No,None,Yes,5,2,Postgraduate,Yes
116,Samarth Chad,Female,2009-01-13,Nelson Inc School,State,2021,90,58,41,48,88,65.0,No,"Mathematics, Second Language","English, Social Science",Yes,3.2,Solo,Practical,84,No,Sports,Yes,2,5,Postgraduate,Yes
117,Adira Agarwal,Male,2008-06-06,Smith and Sons School,CBSE,2023,59,42,63,59,52,55.0,No,"English, Mathematics","Science, Second Language",Yes,3.7,Group,Visual,97,Yes,Debate,No,1,1,None,No
118,Raunak Warrior,Female,2009-03-02,Thomas Inc School,CBSE,2023,98,49,70,61,62,68.0,No,"Mathematics, English","Science, Social Science",Yes,3.3,Group,Practical,81,No,Music,Yes,3,2,Postgraduate,No
119,Pranay Koshy,Female,2009-10-09,"Thomas, Cooper and Sanford School",CBSE,2021,80,95,96,51,93,83.0,Yes,"English, Science","Social Science, Mathematics",No,2.5,Solo,Reading,87,Yes,Arts,Yes,4,3,Graduate,Yes
120,Piya Mammen,Female,2007-08-23,Robinson Group School,CBSE,2023,97,62,46,66,74,69.0,Yes,"Mathematics, Second Language","English, Science",Yes,3.8,Solo,Auditory,98,Yes,Debate,No,4,2,Graduate,No
121,Zoya Tara,Female,2007-06-01,Moody-Peterson School,ICSE,2023,89,55,98,90,43,75.0,No,"English, Social Science","Second Language, Science",No,3.7,Solo,Practical,79,Yes,Sports,No,4,2,Postgraduate,Yes
