student_id,name,subject,internal_marks,external_marks,total_score,grade,attendance_percentage,passed,subject_interest_level,needs_support_in_subject,peer_help_provided,semester_gpa
14,Lakshay Sami,Data Communication,27,64,91,A,72,Yes,4,No,No,7.91
15,Ivana Saran,Object Oriented Programming,20,49,69,C,75,Yes,1,Yes,No,5.12
15,Ivana Saran,Discrete Mathematics,11,47,58,C,97,Yes,2,No,No,5.12
15,Ivana Saran,Computer Organization,26,35,61,C,90,Yes,2,Yes,No,5.12
15,Ivana Saran,Database Management Systems,13,34,47,D,94,Yes,2,No,Yes,5.12
15,Ivana Saran,Data Communication,22,61,83,B,72,Yes,3,No,No,5.12
16,Dishani Sidhu,Object Oriented Programming,24,34,58,C,82,Yes,5,Yes,Yes,5.12
16,Dishani Sidhu,Discrete Mathematics,18,67,85,A,96,Yes,2,No,No,5.12
16,Dishani Sidhu,Computer Organization,11,22,33,F,64,No,2,Yes,Yes,5.12
16,Dishani Sidhu,Database Management Systems,18,68,86,A,89,Yes,3,Yes,Yes,5.12
16,Dishani Sidhu,Data Communication,21,61,82,B,84,Yes,4,Yes,Yes,5.12
17,Alia Saha,Object Oriented Programming,25,23,48,D,72,Yes,4,Yes,No,7.05
17,Alia Saha,Discrete Mathematics,16,60,76,B,78,Yes,4,No,Yes,7.05
17,Alia Saha,Computer Organization,13,44,57,C,100,Yes,1,No,Yes,7.05
17,Alia Saha,Database Management Systems,16,29,45,D,95,Yes,1,No,Yes,7.05
17,Alia Saha,Data Communication,16,42,58,C,85,Yes,2,Yes,Yes,7.05
18,Yasmin Boase,Object Oriented Programming,20,48,68,C,92,Yes,2,No,Yes,8.54
18,Yasmin Boase,Discrete Mathematics,15,61,76,B,65,Yes,3,No,Yes,8.54
18,Yasmin Boase,Computer Organization,29,60,89,A,99,Yes,5,Yes,Yes,8.54
18,Yasmin Boase,Database Management Systems,13,60,73,B,74,Yes,3,No,No,8.54
18,Yasmin Boase,Data Communication,21,22,43,D,62,Yes,1,No,No,8.54
19,Akarsh Mandal,Object Oriented Programming,22,60,82,B,61,Yes,3,Yes,Yes,9.53
19,Akarsh Mandal,Discrete Mathematics,29,50,79,B,73,Yes,4,Yes,No,9.53
19,Akarsh Mandal,Computer Organization,15,70,85,A,65,Yes,4,Yes,No,9.53
19,Akarsh Mandal,Database Management Systems,22,64,86,A,99,Yes,3,No,Yes,9.53
19,Akarsh Mandal,Data Communication,24,30,54,D,62,Yes,3,Yes,Yes,9.53
20,Zaina Srinivas,Object Oriented Programming,27,37,64,C,70,Yes,4,No,Yes,9.7
20,Zaina Srinivas,Discrete Mathematics,22,63,85,A,64,Yes,5,No,No,9.7
20,Zaina Srinivas,Computer Organization,21,69,90,A,67,Yes,1,No,No,9.7
20,Zaina Srinivas,Database Management Systems,10,25,35,F,93,No,1,No,No,9.7
20,Zaina Srinivas,Data Communication,11,61,72,B,70,Yes,1,No,No,9.7
21,Vihaan Balan,Object Oriented Programming,30,60,90,A,98,Yes,1,No,No,9.35
21,Vihaan Balan,Discrete Mathematics,13,36,49,D,98,Yes,1,No,No,9.35
21,Vihaan Balan,Computer Organization,21,40,61,C,69,Yes,4,No,Yes,9.35
21,Vihaan Balan,Database Management Systems,27,36,63,C,63,Yes,1,No,Yes,9.35
21,Vihaan Balan,Data Communication,14,70,84,B,63,Yes,5,No,Yes,9.35
22,Manjari Brahmbhatt,Object Oriented Programming,22,51,73,B,79,Yes,5,Yes,Yes,7.08
22,Manjari Brahmbhatt,Discrete Mathematics,29,40,69,C,64,Yes,3,No,Yes,7.08
22,Manjari Brahmbhatt,Computer Organization,19,44,63,C,99,Yes,1,Yes,Yes,7.08
22,Manjari Brahmbhatt,Database Management Systems,14,61,75,B,76,Yes,4,No,No,7.08
22,Manjari Brahmbhatt,Data Communication,29,32,61,C,64,Yes,4,Yes,Yes,7.08
23,Adira Bawa,Object Oriented Programming,15,28,43,D,90,Yes,3,No,Yes,6.55
23,Adira Bawa,Discrete Mathematics,27,62,89,A,61,Yes,1,No,No,6.55
23,Adira Bawa,Computer Organization,25,25,50,D,80,Yes,3,No,No,6.55
23,Adira Bawa,Database Management Systems,12,61,73,B,69,Yes,1,No,No,6.55
23,Adira Bawa,Data Communication,20,61,81,B,93,Yes,5,No,Yes,6.55
24,Dhanuk Amble,Object Oriented Programming,21,62,83,B,77,Yes,1,No,No,7.62
24,Dhanuk Amble,Discrete Mathematics,22,35,57,C,66,Yes,5,Yes,Yes,7.62
24,Dhanuk Amble,Computer Organization,26,66,92,A,69,Yes,4,Yes,No,7.62
24,Dhanuk Amble,Database Management Systems,25,49,74,B,77,Yes,1,Yes,Yes,7.62
24,Dhanuk Amble,Data Communication,13,58,71,B,93,Yes,2,No,Yes,7.62
25,Tiya Dhar,Object Oriented Programming,26,66,92,A,63,Yes,4,No,No,7.59
25,Tiya Dhar,Discrete Mathematics,22,47,69,C,96,Yes,1,Yes,Yes,7.59
25,Tiya Dhar,Computer Organization,11,26,37,F,72,No,4,Yes,No,7.59
25,Tiya Dhar,Database Management Systems,29,25,54,D,73,Yes,2,No,Yes,7.59
25,Tiya Dhar,Data Communication,19,28,47,D,90,Yes,5,No,No,7.59
26,Emir Kapadia,Object Oriented Programming,29,58,87,A,93,Yes,3,Yes,No,6.27
26,Emir Kapadia,Discrete Mathematics,26,39,65,C,100,Yes,4,Yes,Yes,6.27
26,Emir Kapadia,Computer Organization,22,33,55,C,61,Yes,3,No,No,6.27
26,Emir Kapadia,Database Management Systems,16,22,38,F,97,No,5,Yes,Yes,6.27
26,Emir Kapadia,Data Communication,14,49,63,C,64,Yes,2,Yes,Yes,6.27
27,Jhanvi Garg,Object Oriented Programming,22,58,80,B,94,Yes,2,Yes,No,7.07
27,Jhanvi Garg,Discrete Mathematics,11,39,50,D,65,Yes,5,Yes,No,7.07
27,Jhanvi Garg,Computer Organization,23,35,58,C,93,Yes,1,No,No,7.07
27,Jhanvi Garg,Database Management Systems,28,69,97,A,61,Yes,5,Yes,No,7.07
27,Jhanvi Garg,Data Communication,10,27,37,F,87,No,1,No,No,7.07
28,Aayush Das,Object Oriented Programming,30,67,97,A,100,Yes,5,Yes,Yes,7.99
28,Aayush Das,Discrete Mathematics,30,29,59,C,78,Yes,1,Yes,Yes,7.99
28,Aayush Das,Computer Organization,22,20,42,D,65,Yes,4,Yes,Yes,7.99
28,Aayush Das,Database Management Systems,16,32,48,D,84,Yes,4,No,Yes,7.99
28,Aayush Das,Data Communication,19,32,51,D,64,Yes,5,Yes,No,7.99
29,Aarav Dave,Object Oriented Programming,19,54,73,B,89,Yes,4,Yes,No,5.33
29,Aarav Dave,Discrete Mathematics,26,59,85,A,97,Yes,2,No,No,5.33
29,Aarav Dave,Computer Organization,10,62,72,B,81,Yes,4,No,Yes,5.33
29,Aarav Dave,Database Management Systems,18,27,45,D,81,Yes,3,Yes,Yes,5.33
29,Aarav Dave,Data Communication,16,28,44,D,79,Yes,4,No,Yes,5.33
30,Inaaya  Sule,Object Oriented Programming,12,64,76,B,66,Yes,1,No,Yes,7.61
30,Inaaya  Sule,Discrete Mathematics,10,64,74,B,65,Yes,5,Yes,Yes,7.61
30,Inaaya  Sule,Computer Organization,10,38,48,D,100,Yes,3,No,Yes,7.61
30,Inaaya  Sule,Database Management Systems,13,51,64,C,95,Yes,1,Yes,No,7.61
30,Inaaya  Sule,Data Communication,10,57,67,C,93,Yes,1,No,No,7.61
31,Aarush Rao,Object Oriented Programming,10,53,63,C,65,Yes,4,Yes,Yes,6.6
31,Aarush Rao,Discrete Mathematics,10,60,70,B,68,Yes,5,Yes,No,6.6
31,Aarush Rao,Computer Organization,27,68,95,A,90,Yes,2,No,Yes,6.6
31,Aarush Rao,Database Management Systems,14,44,58,C,68,Yes,5,Yes,No,6.6
31,Aarush Rao,Data Communication,17,27,44,D,89,Yes,4,Yes,Yes,6.6
32,Umang Soman,Object Oriented Programming,26,31,57,C,86,Yes,2,No,Yes,9.8
32,Umang Soman,Discrete Mathematics,16,20,36,F,77,No,1,Yes,Yes,9.8
32,Umang Soman,Computer Organization,14,50,64,C,94,Yes,3,Yes,No,9.8
32,Umang Soman,Database Management Systems,29,61,90,A,65,Yes,1,Yes,No,9.8
32,Umang Soman,Data Communication,22,40,62,C,69,Yes,4,Yes,Yes,9.8
33,Renee Brahmbhatt,Object Oriented Programming,14,29,43,D,73,Yes,1,No,Yes,8.17
33,Renee Brahmbhatt,Discrete Mathematics,30,20,50,D,72,Yes,5,Yes,No,8.17
33,Renee Brahmbhatt,Computer Organization,23,68,91,A,67,Yes,4,No,No,8.17
33,Renee Brahmbhatt,Database Management Systems,28,20,48,D,100,Yes,2,No,No,8.17
33,Renee Brahmbhatt,Data Communication,12,34,46,D,98,Yes,5,No,Yes,8.17
34,Emir Kala,Object Oriented Programming,29,45,74,B,100,Yes,5,No,No,7.94
34,Emir Kala,Discrete Mathematics,16,40,56,C,71,Yes,4,Yes,No,7.94
34,Emir Kala,Computer Organization,28,26,54,D,93,Yes,1,Yes,Yes,7.94
34,Emir Kala,Database Management Systems,24,20,44,D,60,Yes,3,Yes,No,7.94
34,Emir Kala,Data Communication,23,69,92,A,95,Yes,2,Yes,Yes,7.94
35,Dhanuk Desai,Object Oriented Programming,17,53,70,B,99,Yes,3,No,Yes,5.61
35,Dhanuk Desai,Discrete Mathematics,25,32,57,C,68,Yes,2,No,No,5.61
35,Dhanuk Desai,Computer Organization,13,50,63,C,73,Yes,5,No,No,5.61
35,Dhanuk Desai,Database Management Systems,11,65,76,B,68,Yes,2,No,Yes,5.61
35,Dhanuk Desai,Data Communication,19,31,50,D,98,Yes,2,No,No,5.61
36,Anahita Khanna,Object Oriented Programming,24,57,81,B,96,Yes,5,Yes,No,6.76
36,Anahita Khanna,Discrete Mathematics,27,22,49,D,62,Yes,4,Yes,No,6.76
36,Anahita Khanna,Computer Organization,22,38,60,C,72,Yes,3,No,Yes,6.76
36,Anahita Khanna,Database Management Systems,23,37,60,C,71,Yes,4,Yes,No,6.76
36,Anahita Khanna,Data Communication,14,45,59,C,64,Yes,3,No,Yes,6.76
37,Shamik Konda,Object Oriented Programming,16,69,85,A,84,Yes,2,Yes,Yes,6.84
37,Shamik Konda,Discrete Mathematics,30,69,99,A,65,Yes,2,No,No,6.84
37,Shamik Konda,Computer Organization,19,27,46,D,91,Yes,3,Yes,No,6.84
37,Shamik Konda,Database Management Systems,12,28,40,D,100,Yes,2,No,Yes,6.84
37,Shamik Konda,Data Communication,11,54,65,C,66,Yes,1,Yes,Yes,6.84
38,Alisha Mannan,Object Oriented Programming,13,55,68,C,100,Yes,3,No,Yes,9.18
38,Alisha Mannan,Discrete Mathematics,11,64,75,B,79,Yes,4,No,No,9.18
38,Alisha Mannan,Computer Organization,18,20,38,F,96,No,5,No,Yes,9.18
38,Alisha Mannan,Database Management Systems,17,53,70,B,71,Yes,5,Yes,Yes,9.18
38,Alisha Mannan,Data Communication,13,36,49,D,96,Yes,4,No,No,9.18
39,Zeeshan Mangat,Object Oriented Programming,13,66,79,B,75,Yes,2,No,Yes,7.97
39,Zeeshan Mangat,Discrete Mathematics,29,49,78,B,91,Yes,2,Yes,No,7.97
39,Zeeshan Mangat,Computer Organization,10,29,39,F,96,No,3,Yes,No,7.97
39,Zeeshan Mangat,Database Management Systems,21,23,44,D,88,Yes,3,Yes,No,7.97
39,Zeeshan Mangat,Data Communication,12,54,66,C,82,Yes,2,Yes,No,7.97
40,Aaina Lad,Object Oriented Programming,26,30,56,C,60,Yes,2,Yes,No,5.51
40,Aaina Lad,Discrete Mathematics,27,59,86,A,85,Yes,3,Yes,No,5.51
40,Aaina Lad,Computer Organization,13,60,73,B,67,Yes,3,Yes,Yes,5.51
40,Aaina Lad,Database Management Systems,11,57,68,C,70,Yes,2,No,Yes,5.51
40,Aaina Lad,Data Communication,18,38,56,C,84,Yes,2,No,Yes,5.51
41,Kanav Goel,Object Oriented Programming,18,38,56,C,79,Yes,4,Yes,Yes,6.19
41,Kanav Goel,Discrete Mathematics,14,50,64,C,97,Yes,5,Yes,Yes,6.19
41,Kanav Goel,Computer Organization,27,49,76,B,88,Yes,3,No,Yes,6.19
41,Kanav Goel,Database Management Systems,16,49,65,C,84,Yes,2,No,Yes,6.19
41,Kanav Goel,Data Communication,28,60,88,A,90,Yes,5,Yes,No,6.19
42,Himmat Johal,Object Oriented Programming,30,24,54,D,85,Yes,3,No,Yes,6.93
42,Himmat Johal,Discrete Mathematics,19,40,59,C,61,Yes,3,Yes,Yes,6.93
42,Himmat Johal,Computer Organization,15,61,76,B,92,Yes,4,No,Yes,6.93
42,Himmat Johal,Database Management Systems,26,44,70,B,72,Yes,1,Yes,Yes,6.93
42,Himmat Johal,Data Communication,25,56,81,B,62,Yes,1,Yes,No,6.93
43,Saksham Gade,Object Oriented Programming,23,56,79,B,99,Yes,5,No,No,8.38
43,Saksham Gade,Discrete Mathematics,28,58,86,A,61,Yes,4,No,Yes,8.38
43,Saksham Gade,Computer Organization,13,67,80,B,98,Yes,1,Yes,No,8.38
43,Saksham Gade,Database Management Systems,30,62,92,A,98,Yes,1,Yes,No,8.38
43,Saksham Gade,Data Communication,25,59,84,B,90,Yes,5,Yes,Yes,8.38
44,Nitara Contractor,Object Oriented Programming,22,32,54,D,70,Yes,1,Yes,Yes,7.02
44,Nitara Contractor,Discrete Mathematics,18,43,61,C,86,Yes,1,No,No,7.02
44,Nitara Contractor,Computer Organization,19,25,44,D,97,Yes,5,Yes,No,7.02
44,Nitara Contractor,Database Management Systems,30,54,84,B,71,Yes,3,No,No,7.02
44,Nitara Contractor,Data Communication,23,24,47,D,93,Yes,2,No,Yes,7.02
45,Arhaan Bhasin,Object Oriented Programming,25,44,69,C,73,Yes,3,Yes,Yes,7.78
45,Arhaan Bhasin,Discrete Mathematics,24,27,51,D,78,Yes,2,No,No,7.78
45,Arhaan Bhasin,Computer Organization,21,52,73,B,64,Yes,2,No,Yes,7.78
45,Arhaan Bhasin,Database Management Systems,24,34,58,C,99,Yes,2,Yes,Yes,7.78
45,Arhaan Bhasin,Data Communication,11,55,66,C,86,Yes,1,No,Yes,7.78
46,Riaan Reddy,Object Oriented Programming,21,35,56,C,63,Yes,2,Yes,Yes,7.62
46,Riaan Reddy,Discrete Mathematics,29,65,94,A,96,Yes,5,No,Yes,7.62
46,Riaan Reddy,Computer Organization,16,42,58,C,79,Yes,5,Yes,Yes,7.62
46,Riaan Reddy,Database Management Systems,28,51,79,B,91,Yes,3,Yes,Yes,7.62
46,Riaan Reddy,Data Communication,12,50,62,C,75,Yes,5,Yes,Yes,7.62
47,Lakshay Khalsa,Object Oriented Programming,28,26,54,D,72,Yes,2,No,Yes,9.87
47,Lakshay Khalsa,Discrete Mathematics,29,50,79,B,97,Yes,4,No,No,9.87
47,Lakshay Khalsa,Computer Organization,15,66,81,B,86,Yes,4,No,Yes,9.87
47,Lakshay Khalsa,Database Management Systems,29,22,51,D,68,Yes,4,No,No,9.87
47,Lakshay Khalsa,Data Communication,23,36,59,C,82,Yes,3,Yes,No,9.87
48,Baiju Bath,Object Oriented Programming,22,41,63,C,84,Yes,1,Yes,No,7.46
48,Baiju Bath,Discrete Mathematics,29,49,78,B,72,Yes,2,No,Yes,7.46
48,Baiju Bath,Computer Organization,25,29,54,D,99,Yes,5,Yes,No,7.46
48,Baiju Bath,Database Management Systems,19,61,80,B,79,Yes,4,No,No,7.46
48,Baiju Bath,Data Communication,28,26,54,D,83,Yes,3,No,No,7.46
49,Anay Dani,Object Oriented Programming,17,33,50,D,64,Yes,1,Yes,Yes,6.18
49,Anay Dani,Discrete Mathematics,10,23,33,F,97,No,3,No,Yes,6.18
49,Anay Dani,Computer Organization,23,49,72,B,77,Yes,2,No,Yes,6.18
49,Anay Dani,Database Management Systems,18,39,57,C,62,Yes,1,Yes,No,6.18
49,Anay Dani,Data Communication,22,59,81,B,78,Yes,2,Yes,Yes,6.18
50,Yasmin Vyas,Object Oriented Programming,27,36,63,C,92,Yes,2,No,Yes,5.91
50,Yasmin Vyas,Discrete Mathematics,18,37,55,C,86,Yes,4,No,Yes,5.91
50,Yasmin Vyas,Computer Organization,10,61,71,B,62,Yes,2,No,No,5.91
50,Yasmin Vyas,Database Management Systems,21,64,85,A,93,Yes,1,No,Yes,5.91
50,Yasmin Vyas,Data Communication,27,52,79,B,74,Yes,2,Yes,No,5.91
51,Hridaan Tandon,Object Oriented Programming,26,23,49,D,100,Yes,4,No,Yes,6.64
51,Hridaan Tandon,Discrete Mathematics,15,52,67,C,86,Yes,1,Yes,Yes,6.64
51,Hridaan Tandon,Computer Organization,20,32,52,D,69,Yes,4,No,Yes,6.64
51,Hridaan Tandon,Database Management Systems,30,32,62,C,60,Yes,5,Yes,Yes,6.64
51,Hridaan Tandon,Data Communication,11,68,79,B,98,Yes,2,No,Yes,6.64
52,Samar Shere,Object Oriented Programming,19,41,60,C,100,Yes,5,Yes,No,6.07
52,Samar Shere,Discrete Mathematics,20,42,62,C,85,Yes,1,No,Yes,6.07
52,Samar Shere,Computer Organization,29,56,85,A,75,Yes,2,No,Yes,6.07
52,Samar Shere,Database Management Systems,11,37,48,D,73,Yes,3,No,No,6.07
52,Samar Shere,Data Communication,20,37,57,C,69,Yes,2,Yes,No,6.07
53,Dishani Mander,Object Oriented Programming,24,65,89,A,66,Yes,4,No,No,8.83
53,Dishani Mander,Discrete Mathematics,27,49,76,B,79,Yes,4,Yes,Yes,8.83
53,Dishani Mander,Computer Organization,20,47,67,C,94,Yes,5,Yes,No,8.83
53,Dishani Mander,Database Management Systems,11,32,43,D,75,Yes,5,No,Yes,8.83
53,Dishani Mander,Data Communication,12,52,64,C,67,Yes,4,No,No,8.83
54,Shanaya Chhabra,Object Oriented Programming,15,58,73,B,72,Yes,1,Yes,Yes,5.43
54,Shanaya Chhabra,Discrete Mathematics,12,44,56,C,66,Yes,4,Yes,No,5.43
54,Shanaya Chhabra,Computer Organization,28,41,69,C,65,Yes,5,No,No,5.43
54,Shanaya Chhabra,Database Management Systems,17,63,80,B,90,Yes,4,No,Yes,5.43
54,Shanaya Chhabra,Data Communication,12,54,66,C,95,Yes,2,No,No,5.43
55,Purab Choudhury,Object Oriented Programming,22,33,55,C,92,Yes,3,Yes,No,7.03
55,Purab Choudhury,Discrete Mathematics,10,50,60,C,93,Yes,3,Yes,No,7.03
55,Purab Choudhury,Computer Organization,20,23,43,D,89,Yes,4,Yes,Yes,7.03
55,Purab Choudhury,Database Management Systems,24,21,45,D,96,Yes,3,Yes,No,7.03
55,Purab Choudhury,Data Communication,10,70,80,B,86,Yes,5,No,No,7.03
56,Damini Amble,Object Oriented Programming,29,44,73,B,84,Yes,1,No,No,6.4
56,Damini Amble,Discrete Mathematics,17,63,80,B,73,Yes,1,Yes,No,6.4
56,Damini Amble,Computer Organization,12,29,41,D,62,Yes,2,Yes,Yes,6.4
56,Damini Amble,Database Management Systems,10,45,55,C,75,Yes,5,No,Yes,6.4
56,Damini Amble,Data Communication,24,25,49,D,62,Yes,2,No,Yes,6.4
57,Kiara Malhotra,Object Oriented Programming,16,44,60,C,71,Yes,4,No,Yes,9.32
57,Kiara Malhotra,Discrete Mathematics,14,60,74,B,88,Yes,1,No,No,9.32
57,Kiara Malhotra,Computer Organization,14,63,77,B,95,Yes,2,Yes,Yes,9.32
57,Kiara Malhotra,Database Management Systems,21,26,47,D,100,Yes,5,No,No,9.32
57,Kiara Malhotra,Data Communication,22,64,86,A,79,Yes,4,Yes,Yes,9.32
58,Indranil Gade,Object Oriented Programming,16,30,46,D,83,Yes,5,No,No,7.92
58,Indranil Gade,Discrete Mathematics,12,46,58,C,85,Yes,2,Yes,Yes,7.92
58,Indranil Gade,Computer Organization,27,28,55,C,76,Yes,5,Yes,No,7.92
58,Indranil Gade,Database Management Systems,11,47,58,C,81,Yes,4,No,Yes,7.92
58,Indranil Gade,Data Communication,14,34,48,D,86,Yes,4,No,No,7.92
59,Siya Das,Object Oriented Programming,17,41,58,C,100,Yes,4,No,Yes,6.94
59,Siya Das,Discrete Mathematics,18,50,68,C,74,Yes,4,Yes,Yes,6.94
59,Siya Das,Computer Organization,20,66,86,A,78,Yes,5,Yes,Yes,6.94
59,Siya Das,Database Management Systems,20,65,85,A,91,Yes,2,Yes,No,6.94
59,Siya Das,Data Communication,20,38,58,C,88,Yes,2,No,Yes,6.94
60,Jayesh Ganesan,Object Oriented Programming,30,67,97,A,69,Yes,2,No,No,9.24
60,Jayesh Ganesan,Discrete Mathematics,28,32,60,C,67,Yes,3,No,Yes,9.24
60,Jayesh Ganesan,Computer Organization,16,70,86,A,66,Yes,2,No,No,9.24
60,Jayesh Ganesan,Database Management Systems,25,22,47,D,67,Yes,3,No,Yes,9.24
60,Jayesh Ganesan,Data Communication,28,46,74,B,97,Yes,3,Yes,Yes,9.24
61,Sahil Char,Object Oriented Programming,23,55,78,B,86,Yes,2,Yes,Yes,7.29
61,Sahil Char,Discrete Mathematics,16,53,69,C,63,Yes,4,No,Yes,7.29
61,Sahil Char,Computer Organization,25,30,55,C,75,Yes,5,Yes,No,7.29
61,Sahil Char,Database Management Systems,13,59,72,B,68,Yes,4,Yes,No,7.29
61,Sahil Char,Data Communication,29,49,78,B,82,Yes,3,No,No,7.29
62,Hansh Chandran,Object Oriented Programming,17,59,76,B,89,Yes,2,No,Yes,5.73
62,Hansh Chandran,Discrete Mathematics,25,41,66,C,67,Yes,2,Yes,Yes,5.73
